scene_id,video_name,category,dominant_mood,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster_label,cluster_v2
0,man_vs_baby_trailer.mp4,other,seriousness,-1.8754051,7.063675,3.793056,-13.098389,0.25721058,-4.523604,-5.802408,0.28842086,3.688722,-3.5791123,3.5643396,0.85378367,-1.6871573,3.3120282,3,C3b
1,man_vs_baby_trailer.mp4,other,amusement,14.45697,-30.478098,-17.014658,-17.929169,-1.2161282,12.468849,-0.09762906,2.9357674,-2.1812572,-4.7888513,2.7005057,0.4913256,2.1984894,-0.95111656,2,C2
2,man_vs_baby_trailer.mp4,other,unknown,21.577894,-17.460974,-9.587249,-14.8878,5.4873033,5.355963,2.4659343,0.34421068,-1.0445571,0.54980814,-2.138417,-8.478166,-0.9985633,-2.5867386,2,C2
3,man_vs_baby_trailer.mp4,other,celebration,-14.140511,-2.6137938,-0.18583474,10.095917,-3.0612364,-0.4772017,3.912784,2.0629182,3.2377193,-2.6768079,3.1957295,1.9311354,-0.521584,1.7036638,3,C3a
4,man_vs_baby_trailer.mp4,other,seriousness,1.1148412,5.173206,5.1003366,-13.508984,1.7151655,-4.511669,-6.2190056,-1.7527391,2.9837513,-8.0682,3.177953,-0.5438954,-2.5970287,4.38467,3,C3b
5,man_vs_baby_trailer.mp4,other,seriousness,5.1677065,8.042701,0.7759664,-13.96689,-3.4280937,-5.3179507,-5.8674507,-3.708442,4.2658687,-7.7352605,2.9634788,-1.9148046,-4.9208403,4.674866,1,C1
6,man_vs_baby_trailer.mp4,other,celebration,-4.844388,-14.931563,-8.892588,4.965767,2.4570491,-2.1529646,2.8712955,-0.4121004,0.15747555,-3.536114,2.6543837,0.42312708,-1.3700209,0.12537776,3,C3a
7,man_vs_baby_trailer.mp4,other,celebration,-14.753625,-4.9745736,-5.1589227,12.810351,-6.1924562,1.8756229,2.5182014,1.291817,2.3761804,-3.9855611,1.3714702,2.3634083,-2.2607503,0.1671135,3,C3a
8,man_vs_baby_trailer.mp4,other,tension,17.000551,-9.134857,-10.599961,-15.6160345,1.9463991,0.074731454,2.9023917,0.95775545,2.2873545,3.570801,-3.7620308,-8.596635,-0.2274559,-3.3641264,2,C2
9,man_vs_baby_trailer.mp4,other,neutral,15.838064,-30.486656,-11.363224,-16.576532,-1.2249262,9.888554,5.001688,0.7511738,-3.1150541,-5.0842566,4.5175858,0.7263244,1.786046,-1.0045406,2,C2
10,man_vs_baby_trailer.mp4,other,amusement,-5.6338177,-3.9701555,-6.540403,2.4034164,3.1784754,-1.8454005,4.639124,4.5518045,4.772272,-1.7856797,1.3045228,-8.292978,1.4268615,-2.1207201,3,C3a
0,ready_or_not_trailer.mp4,other,sadness,18.556587,17.492783,-26.151188,10.53265,-5.504396,6.100066,-5.1887307,-0.85293907,-0.9555908,0.7946558,-0.19927949,4.424729,2.5036414,3.5236232,1,C1
1,ready_or_not_trailer.mp4,other,tension,19.616285,-0.13526042,10.002912,-8.713381,-7.006232,-8.107258,-0.82337314,-3.188362,2.301227,-1.6718764,1.848517,-1.1282666,3.2545786,1.3696274,0,C0
