image_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster,mood_text
gacs_advertisements_00_-P6q0A9K_scene_00,-6.162767,-9.066365,5.7380896,-4.5106044,1.6839944,-8.544066,3.1504393,2.7400806,1.209709,6.1886287,0.619915,0.45261085,2.1208544,-4.0657496,3,"futuristic, exciting, innovative, modern, sleek"
gacs_advertisements_00_-P6q0A9K_scene_09,-16.884903,-5.725863,3.6860545,3.8481712,3.9006023,0.48397267,5.0155034,1.432328,-1.3892431,-1.5235035,1.5055281,-0.43042,1.2488716,-1.3694875,3,"informative, modern, digital, anticipatory, upbeat"
gacs_advertisements_00_-avONMmQ_scene_05,-12.388195,6.353956,-7.9713187,1.1681182,1.2755966,1.9163731,2.77629,-6.3690186,1.5108153,0.27832386,-6.61748,-0.32109034,-2.1454268,1.510432,0,"cold, peaceful, wintry, enchanted"
gacs_advertisements_00_-avONMmQ_scene_14,-18.25887,-7.5780225,7.2801247,6.3954377,-4.658773,3.6431699,-2.1172533,4.1825533,1.3176959,-0.17066172,1.220593,-1.1766356,1.7091221,1.0695721,3,"joyful, energetic, lively, boisterous"
gacs_advertisements_00_fo4LLux-_scene_03,-3.5054638,11.283149,-14.223176,-4.3494782,1.1395606,-1.1388428,-4.802854,-2.9243505,-2.0877223,-4.421069,5.39811,1.5303472,9.769174,3.6284196,0,"calm, neutral, focused, pensive"
gacs_advertisements_00_fo4LLux-_scene_12,-14.890484,5.4216766,-5.6466565,1.5277437,4.3258357,2.9942193,-2.5397193,-3.2788796,-1.8375273,2.0702262,1.2827269,-1.9966363,-1.6980222,-0.9198886,0,"serene, thoughtful, calm, elegant"
gacs_advertisements_01_9G5luoju_scene_06,-3.3122125,-2.9296243,-5.0705676,-1.3315235,7.7135134,-1.4573635,9.760386,6.3300223,-2.7836843,4.4353194,-3.352193,2.0669224,-1.5164088,-0.46940392,0,"prepared, active, focused, energetic"
gacs_advertisements_01_DnWykPvf_scene_02,-18.25679,-3.730211,2.0335488,5.558032,-0.97977537,1.3242724,-1.5081348,3.9751456,0.25272664,1.9744377,-2.3425667,0.5781106,-3.2618349,0.8981874,3,"active, bright, industrious, urban, mundane"
gacs_advertisements_01_aDoT6K3B_scene_04,-20.682556,-7.3039675,6.799961,5.020408,-7.094142,4.5005803,0.23429158,1.2183042,-0.8826817,1.5940382,-2.1976104,-1.3203651,1.2015915,1.3012476,3,"happy, joyful, relaxed, playful"
gacs_advertisements_01_jBnseji3_scene_00,1.7132621,-8.7059965,-4.920546,-9.375849,-4.708495,-10.573507,4.0119553,2.1634245,-2.8366964,1.2792413,2.0196528,1.7222532,-2.710083,5.525633,0,"active, intense, dynamic, focused"
gacs_advertisements_01_jBnseji3_scene_09,-20.036724,-4.2322445,7.9850307,9.781936,-6.4817767,3.0171227,-1.6783373,1.6638671,-0.9122765,1.133849,-1.5283233,2.2658176,-0.39859605,0.86804277,3,"inspiring, uplifting, joyful, hopeful, communal"
gacs_advertisements_02_DsonSEll_scene_03,5.4449463,2.2979362,0.3120643,-7.056527,7.381457,-7.53213,3.5995991,-0.48667848,2.6144722,1.424059,-5.3491836,11.277974,-0.57106274,1.1906912,0,"desolate, rugged, powerful, adventurous"
gacs_advertisements_02_VGa1imAp_scene_01,-19.084497,5.995543,-1.0931797,6.006196,-0.7598598,2.3693771,2.4444506,-5.765123,-0.613248,2.8145192,-2.4574819,0.091213256,-1.5599827,1.8375987,3,"calm, creative, focused, serene"
gacs_advertisements_02_VGa1imAp_scene_10,-2.6234722,3.7624252,13.193198,1.9934143,3.206588,-2.7720735,4.007645,-11.770597,2.2381775,-12.277896,2.372021,-0.45063642,-1.5019051,-2.4771104,3,"serene, surreal, tranquil, cold, nostalgic"
gacs_advertisements_02_YG8kLlRw_scene_00,0.5815582,1.0163748,-12.875562,-5.5054507,12.19119,-1.4744977,6.3017945,1.7826992,-3.6036568,-1.7533525,0.5443521,-1.6369504,-0.51938957,-2.481921,0,"busy, tense, focused, professional, concerned"
gacs_advertisements_02_YG8kLlRw_scene_09,-10.3421545,-2.1308894,0.15282884,-7.3124466,4.4505677,-6.659853,2.6888025,-1.0315984,5.390687,5.439299,3.007663,-2.9521685,5.5028024,0.28778186,0,"luxurious, vibrant, confident, eccentric"
gacs_advertisements_03_9Bo2OIxp_scene_03,13.332783,24.037445,5.2307324,-0.7649421,-10.577107,1.1527207,3.9850957,5.7092457,0.7305673,2.0283844,2.1571817,3.1063612,-0.6468645,3.240535,1,"distressed, sad, emotional, vulnerable, exhausted"
gacs_advertisements_03_9Bo2OIxp_scene_12,-7.817371,4.575738,-9.734969,-4.3990707,9.6474,0.92211795,-0.8425721,2.0795333,-1.5116581,1.1646824,0.9757303,-2.1971095,-3.9965749,1.4011481,0,"neutral, informative, calm"
gacs_advertisements_03_Uoj6rlUk_scene_08,-5.331172,3.4258106,-4.4183946,-7.952949,8.092122,-5.267149,2.0447416,-5.1545024,2.2582927,8.804763,3.9983747,-0.60168654,2.5679972,-2.214571,0,"calm, delicate, focused, luxurious"
gacs_advertisements_03_peuPOPIh_scene_02,-3.8963842,9.604494,0.27329648,-6.980771,6.0457044,-9.979693,-4.205424,-6.712553,3.8207128,11.561345,1.6212863,-3.1909714,6.8756967,-1.4227353,0,"dark, sleek, luxurious, sophisticated"
gacs_advertisements_04_YU7TcxwF_scene_01,14.371513,16.700682,-3.7425475,-2.2433097,-4.9822702,-2.8735642,-5.2422605,1.749376,-0.9405169,-2.1947203,-2.6608021,0.879001,5.9214916,7.10902,1,"dark, isolated, mysterious, pensive, tense"
gacs_advertisements_04_YU7TcxwF_scene_10,-4.4247637,-2.429159,0.9460659,-6.292606,3.4840548,-10.148532,0.43459365,-1.6559325,2.1267118,10.017563,1.9597561,-1.3565842,2.725104,-2.4764295,0,"powerful, sleek, modern, dynamic, luxurious"
gacs_advertisements_04_dGFPi5sZ_scene_06,-8.518832,-11.648067,11.440383,6.614347,-1.1727076,-2.022399,4.2776003,1.5521741,-1.5782516,-3.8759995,-1.461561,6.6340466,3.001472,-2.7523015,3,"adventurous, exhilarating, daring, free, dynamic"
gacs_advertisements_04_w7oDM_as.temp_scene_02,-6.684362,-10.688877,6.43621,0.4129771,-6.7246127,-9.191789,2.9405825,1.3263091,-3.8450592,-4.9693832,-2.1930552,0.8455679,1.3408056,1.8299867,3,"energetic, intense, focused, fast, thrilling"
gacs_advertisements_04_w7oDM_as.temp_scene_11,-2.2186432,-10.58288,7.511535,0.18716379,0.13826895,-8.662219,4.460268,1.0074788,-1.8785319,-1.5686648,-1.1866794,1.297258,0.6347191,-2.800198,3,"fast, powerful, classic, thrilling, intense"
gacs_animations_00_-HMqv0zl_scene_00,-7.722994,18.93415,5.3403535,2.296726,-3.310726,-0.34749526,-0.49710122,-14.644479,2.2932944,0.3127358,-1.1304355,1.7193217,-3.467275,0.7538375,1,"bright, ethereal, serene, empty, mysterious"
gacs_animations_00_WIPV1iwz_scene_07,2.8022718,-5.5724506,6.2201715,-16.228556,7.74923,3.4921293,-0.54797715,1.6244158,10.7334795,-7.1207147,2.2515237,1.1180625,0.07368155,2.0298183,0,"cute, vulnerable, curious, solitary, peaceful"
gacs_animations_00_WIPV1iwz_scene_16,-8.948552,0.19706286,2.9007893,-9.231304,6.2568116,3.1956275,0.8915857,2.770387,8.727124,-3.2897644,-1.3396744,-0.014179012,-2.801071,4.457272,0,"peaceful, curious, gentle, hopeful"
gacs_animations_00_hXzcyx9V_scene_03,25.039255,-4.0981827,10.88524,7.9299626,9.53787,6.0485444,3.6496782,1.9259808,-1.348926,3.9960477,-1.0493084,4.2210956,1.7400572,3.0464544,2,"scared, mysterious, vulnerable"
