scene_id,video_id,category,dominant_mood,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster_label
gacs_advertisements_00_-avONMmQ_s0016,gacs_advertisements_00_-avONMmQ,advertisements,cold,4.8972964,28.00272,-4.467125,7.771635,2.8096268,-0.38593057,-2.335144,-0.03487073,3.4330754,0.45414126,-3.7025225,-2.4546995,1.8396213,0.840738,0
gacs_advertisements_01_jBnseji3_s0013,gacs_advertisements_01_jBnseji3,advertisements,triumphant,-14.073351,-8.178388,2.0640228,10.69594,3.0837657,1.9914007,0.28683054,1.0364635,0.55843353,1.9496467,0.34679058,0.64707774,-2.2612495,2.4652388,2
gacs_advertisements_01_jBnseji3_s0014,gacs_advertisements_01_jBnseji3,advertisements,dark,22.099348,2.5745795,-4.914109,-2.354265,5.9780803,-0.3318597,-0.45259124,0.60598993,-1.9573816,1.9617025,-1.1657068,5.9778447,-6.5077295,-2.6341949,1
gacs_animations_00_WIPV1iwz_s0015,gacs_animations_00_WIPV1iwz,animations,vulnerable,2.335963,-10.806589,5.0449796,-2.327546,1.2835801,-6.9520454,-6.9099393,5.4064155,1.1922345,-1.9879713,-4.9654384,-2.7634583,-3.6330538,2.8475275,2
gacs_animations_00_WIPV1iwz_s0016,gacs_animations_00_WIPV1iwz,animations,peaceful,-16.908257,-0.9569925,1.7394122,-2.1003332,-2.965623,2.4828238,-4.41175,-1.893942,-0.2766636,0.9905642,-4.6479535,1.640785,-0.60713357,3.8823109,2
gacs_animations_00_WIPV1iwz_s0017,gacs_animations_00_WIPV1iwz,animations,peaceful,-15.621372,-2.7893696,1.7884212,-4.2949843,-3.0486767,0.7971175,-1.2937251,0.7255516,-0.053572897,-1.9808016,-5.5626545,0.07614625,1.5842056,2.9909089,2
gacs_animations_00_WIPV1iwz_s0018,gacs_animations_00_WIPV1iwz,animations,peaceful,-17.508238,0.76524085,8.7406025,-5.8260255,3.9022968,2.1318963,0.42905232,-1.1958432,3.5723808,-3.401382,-1.9185895,0.61324215,0.46028632,1.084373,2
gacs_animations_00_WIPV1iwz_s0019,gacs_animations_00_WIPV1iwz,animations,peaceful,-12.180322,-6.804338,3.489526,2.2644715,-2.9417481,-3.854362,-1.6025151,0.25769323,1.8107973,0.20210326,-2.6603076,1.5882636,-0.53855026,3.606566,2
gacs_animations_00_WIPV1iwz_s0020,gacs_animations_00_WIPV1iwz,animations,peaceful,-17.12532,0.36986807,7.7220387,-1.7894188,3.631519,1.8125741,-0.59658444,-0.8873567,5.352142,1.6042757,1.6893153,2.565291,1.5528398,1.971339,2
gacs_animations_00_WIPV1iwz_s0021,gacs_animations_00_WIPV1iwz,animations,inviting,-6.912436,-5.138961,-13.526233,-0.30896455,-5.6415653,0.9534433,0.64360523,1.2372582,7.7802997,-2.0579593,1.6544175,1.665659,2.4233193,2.1664357,2
gacs_animations_02_qLGNj-xr_s0016,gacs_animations_02_qLGNj-xr,animations,encouraging,-10.832934,-5.871704,0.64065766,-1.1935042,-1.8801274,1.0286961,6.330437,4.4371986,0.80402493,-2.0749555,5.8012137,1.2506953,-1.8521646,3.5702658,2
gacs_animations_02_qLGNj-xr_s0017,gacs_animations_02_qLGNj-xr,animations,calm,-17.62144,2.1172793,8.501152,-4.4375963,3.7330089,1.1344604,-0.62389696,-2.5925226,2.9843266,-0.19035482,1.0456427,1.3716598,0.7153501,0.5106295,2
gacs_animations_02_qLGNj-xr_s0018,gacs_animations_02_qLGNj-xr,animations,calm,-18.358116,-3.654029,2.8525481,4.43302,4.6018496,0.7915986,-0.11112028,-1.3841665,3.5758674,3.0535111,0.706539,4.194567,-2.0582647,2.4346106,2
gacs_animations_02_qLGNj-xr_s0019,gacs_animations_02_qLGNj-xr,animations,calm,-18.051533,0.31648386,8.462569,-0.4815313,3.279557,-1.0188521,-0.021553464,-2.8796134,3.8072822,0.2606539,0.5234028,1.8547318,-1.6675091,1.9137706,2
gacs_emotional_shorts_00_WAmw-erI_s0015,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,tense,4.8323507,0.47524694,-20.834452,-1.4209857,16.758196,7.0492854,0.9701331,-4.9695024,-2.2722993,2.7994044,0.6177876,0.8987037,-4.433714,6.5881085,1
gacs_emotional_shorts_00_WAmw-erI_s0016,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,-10.238057,5.712365,-9.222752,-8.390079,-2.6911693,-0.67539144,-2.1356943,-4.0879707,-2.157134,5.823351,1.9821081,-2.519827,2.6272397,3.0143256,2
gacs_emotional_shorts_00_WAmw-erI_s0017,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,-8.275898,1.1885637,-14.648627,-6.732562,-3.7206523,-0.86633295,-1.2534173,-2.333794,0.64897877,6.127701,2.1093473,-1.9388578,-1.2376114,4.22263,2
gacs_emotional_shorts_00_WAmw-erI_s0018,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,engaging,-12.316816,-0.34812698,-7.0919557,-7.8382955,-0.95109075,0.31028366,-4.726848,1.0150782,-3.5528142,3.642256,0.42488104,-3.7477639,5.8755536,3.0003655,2
gacs_emotional_shorts_00_WAmw-erI_s0019,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,surprised,15.568974,-10.538273,-2.199869,10.63116,-9.017126,0.26006454,-10.649173,-5.7407045,-1.4827061,-3.673714,4.2223783,-3.5091732,-0.31732225,1.8392822,1
gacs_emotional_shorts_00_WAmw-erI_s0020,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,thoughtful,-7.6166034,5.765375,-10.389579,-3.9425435,8.198365,-4.595559,-6.353082,-1.2499691,-5.8997025,7.9560804,-0.32408163,-2.1259482,1.6581,3.2340581,2
gacs_emotional_shorts_00_WAmw-erI_s0021,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,serious,-0.29833204,-1.3380187,-11.9283495,-6.1591344,1.9698887,-2.9961655,-6.994592,4.5169206,-1.2743392,3.6765802,0.37448823,0.7775918,1.5506842,4.892972,2
gacs_emotional_shorts_00_WAmw-erI_s0022,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,concerned,17.073515,-3.7687442,4.3690205,-12.360424,-0.4233666,-2.6684415,-6.893308,3.4494882,-3.9927657,0.17971697,0.88836014,-2.7200584,-3.3232963,4.3242908,1
gacs_emotional_shorts_00_WAmw-erI_s0023,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,thoughtful,-3.442998,7.53402,-11.916758,-0.16879058,-3.963677,-2.077434,-7.268993,-1.311423,-0.78196955,4.194061,1.8714564,2.5953734,-0.361192,0.6740438,2
gacs_emotional_shorts_00_WAmw-erI_s0024,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,disengaged,-13.55847,-2.201303,-5.334051,-1.9311774,-1.351098,3.6298785,-0.75710994,3.4233725,-6.954409,-0.6500552,0.34869066,-2.1438632,3.4243176,-0.6854307,2
gacs_emotional_shorts_00_WAmw-erI_s0025,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,-11.673398,18.31825,2.2259421,-1.997929,0.32387203,-2.0603182,-3.0730097,-4.948346,0.15200202,2.3603475,2.7340965,-2.8810067,5.0702496,2.0153208,2
gacs_emotional_shorts_00_WAmw-erI_s0026,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,tense,3.6735668,17.57488,-16.172016,4.4487057,16.955963,1.7349402,-5.4562798,-0.5220219,-3.778712,3.4916275,-0.22141217,-3.9108825,3.0928063,5.0872574,0
gacs_emotional_shorts_00_WAmw-erI_s0027,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,expressive,-4.3011827,-4.059012,-14.052959,1.6728365,-5.9902782,-0.8080102,-0.06645441,0.9517666,-1.9423354,3.7470527,2.1598887,-1.6093532,1.4003139,3.2781217,2
gacs_emotional_shorts_00_WAmw-erI_s0028,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,concerned,2.0245228,-3.3037343,-15.346935,-9.549045,-2.5291095,-1.4903784,-1.2333663,-0.9693525,-2.8159757,0.99287075,2.5031848,-2.9280472,-2.523859,6.93171,2
gacs_emotional_shorts_00_WAmw-erI_s0029,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,displeased,21.861883,-5.732645,7.274994,-5.3615847,0.18813874,-2.4155993,-7.0553474,3.4573655,-4.16347,-0.76922727,2.689425,-2.5942504,-3.239984,2.5859337,1
gacs_emotional_shorts_00_WAmw-erI_s0030,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,conversational,-4.058403,-0.4834562,-11.327134,-4.3463798,-1.5971786,-1.9857332,-1.7288208,-1.2988614,-0.34569576,3.2551494,1.4342152,0.16225958,0.018654892,0.56506795,2
gacs_emotional_shorts_00_WAmw-erI_s0031,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,10.208182,25.97921,-6.111756,13.685932,2.6681094,0.7951257,-4.481157,1.0939626,3.9287205,1.2180376,-0.30274764,-3.0936167,0.6829728,0.3170476,0
gacs_emotional_shorts_00_WAmw-erI_s0032,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,thoughtful,4.512959,0.5547095,-16.075321,0.13071665,9.028307,-4.309751,-5.325164,1.5265255,-6.8806624,4.0359917,-0.18939686,-0.706768,-2.3889055,8.014733,1
gacs_emotional_shorts_00_WAmw-erI_s0033,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,sad,-10.283111,15.947912,-2.4627008,4.679831,-4.942439,-1.1841047,-5.417814,-1.3490058,-0.933627,3.724783,1.4041418,0.70644605,1.8716143,0.31139582,2
gacs_emotional_shorts_00_WAmw-erI_s0034,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,attentive,-10.48614,-2.3585303,-9.661469,-8.481386,2.465905,0.39567974,-4.4788413,-1.8156601,-1.1723408,4.3108053,0.2893755,-2.753386,1.6921422,5.5909605,2
gacs_emotional_shorts_00_WAmw-erI_s0035,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,calm,-15.003302,-1.1430389,-4.8882217,-4.6564302,-3.6332445,-1.1713505,-3.4146316,-2.6979327,1.1275588,4.8408313,1.3572121,-3.4257917,1.9510024,2.2880855,2
gacs_emotional_shorts_00_WAmw-erI_s0036,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,tense,7.2483296,26.777687,-2.1189413,2.3814194,2.7264931,0.027477274,0.3161402,4.3715215,-4.9006076,-0.87992865,0.6215397,-4.386842,4.567767,0.121673495,0
gacs_emotional_shorts_00_WAmw-erI_s0037,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,spacious,-15.303611,-0.36139894,-0.008871695,1.2027497,2.0476408,1.2041454,2.8245502,-1.2339882,2.5401187,4.806429,5.647367,0.2036344,-1.0803035,0.68808997,2
gacs_emotional_shorts_00_WAmw-erI_s0038,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,casual,-4.8218074,-3.46485,-7.0790324,2.5274394,-9.428113,-1.1112431,-0.15648808,0.08332842,-3.715006,0.86788964,-0.30084857,-1.382037,4.1380424,-1.8476245,2
gacs_emotional_shorts_00_WAmw-erI_s0039,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,calm,-15.390661,0.7269655,-1.9244001,-7.243298,-2.513445,0.7796161,0.95735127,-1.6127111,0.8323669,3.4068952,1.7404153,-3.1556747,-2.3054936,-2.2593548,2
gacs_emotional_shorts_00_WAmw-erI_s0040,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,concerned,10.477718,-5.381653,-15.066246,9.646714,8.813653,0.16257915,-8.229722,-5.954471,-2.6610343,1.6505524,-2.235013,-2.8135958,-1.9677287,3.600587,1
gacs_emotional_shorts_00_WAmw-erI_s0041,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,-15.762212,-1.2746861,-7.588334,-8.711469,-1.0552216,2.589705,-2.9057295,2.374024,-0.34583738,2.3560956,-1.7070025,-3.3808305,2.686454,0.6824664,2
gacs_emotional_shorts_00_WAmw-erI_s0042,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,friendly,-17.523087,-1.9344913,0.456283,-1.771644,1.9918573,3.8494892,-2.281351,3.0618029,-1.0711232,3.1798527,-1.6266452,-1.1165384,1.3061054,-1.8350997,2
gacs_emotional_shorts_00_WAmw-erI_s0043,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,distant,-1.2376738,3.8676274,-13.573644,-11.529915,6.929838,-1.9754074,-1.322996,-0.08682974,-8.576391,0.07545305,-3.7758408,-3.3136744,-1.222406,2.0509222,2
gacs_emotional_shorts_00_WAmw-erI_s0044,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,calm,-11.544567,-2.3553717,-11.840596,-4.5084763,-1.8537682,3.587085,-3.4609032,-1.5946137,2.3300722,2.0861435,-1.1606016,2.621789,2.7947621,0.9378919,2
gacs_emotional_shorts_00_WAmw-erI_s0045,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,domestic,-2.3840969,9.9509325,-13.588281,-9.958745,9.068127,0.7416039,-1.9021219,-0.72199595,-10.283545,5.5765576,-2.383449,-1.5610852,1.9020659,5.2385697,2
gacs_emotional_shorts_00_WAmw-erI_s0046,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,9.885536,26.755224,-5.4738894,13.96342,4.023609,0.92287767,-2.9511957,5.255436,2.3790898,-0.06819434,1.7867275,-3.3755023,2.0225954,1.8057435,0
gacs_emotional_shorts_00_WAmw-erI_s0047,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,content,-17.861109,4.996441,3.3205237,-9.49375,2.1486342,2.8207061,-0.3199316,-2.8122027,1.6554503,-0.055606887,0.9654902,-1.6048292,2.9793074,0.7150453,2
gacs_emotional_shorts_00_WAmw-erI_s0048,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,distant,10.520198,29.052635,-10.840967,4.459179,3.5566118,4.184483,0.22753799,0.82107806,1.0962358,-1.0705037,-1.2552615,-4.07094,0.25428352,3.3273525,0
gacs_emotional_shorts_00_WAmw-erI_s0049,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,-10.593995,6.085628,-10.493917,-11.37973,-0.66264427,0.6028794,-3.9745522,0.22640027,-3.676349,5.4546,0.36411083,-1.4401124,7.36918,2.921671,2
gacs_emotional_shorts_00_WAmw-erI_s0050,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,pensive,-11.449752,5.3781066,-8.484267,-8.710506,0.5801334,1.3523436,-2.9293964,-0.38665387,-6.1616335,4.6245747,1.5383807,-0.5350645,6.845129,1.621701,2
gacs_emotional_shorts_00_WAmw-erI_s0051,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,quiet,-7.15268,7.0856433,-5.311267,-9.686546,-1.7032976,1.4684137,-1.0056071,-1.1093179,-6.5268393,0.4793506,0.5087017,-5.0281515,6.632889,4.691033,2
gacs_emotional_shorts_00_WAmw-erI_s0052,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,bored,-15.988011,5.5948696,1.1199543,-9.053702,-0.595263,1.7123156,-4.082985,-2.564357,-0.08228769,-0.48688197,-2.4175575,-3.3402565,0.8293509,-4.14186,2
gacs_emotional_shorts_00_WAmw-erI_s0053,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,subdued,-14.53616,0.80747527,-7.7614293,-5.709888,3.1354327,3.1583006,-3.0847714,1.5986832,-6.052999,4.2946944,0.21994077,-0.37874737,5.7118235,2.408208,2
gacs_emotional_shorts_00_WAmw-erI_s0054,gacs_emotional_shorts_00_WAmw-erI,emotional_shorts,conversational,-10.191796,-2.7199745,-11.959751,-5.433654,-3.5917323,2.1410203,-2.2751505,3.817544,-0.79496634,0.84000915,0.35985366,0.85035515,5.024101,1.4174238,2
